Titel;Beschreibung ;Phase 1;;;;Phase 2;;;;Phase 3;;;;
;;Beschreibung (Hintergrundinformation);Investitionen;Bildung & Karriere;Freizeit & Soziales;Beschreibung (Hintergrundinformation);Investitionen;"Bildung  &
Karriere";"Freizeit & 
Soziales";Beschreibung (Hintergrundinformation);Investitionen;"Bildung  &
Karriere";"Freizeit & 
Soziales";Hintergrund 
Aufbau einer Selbstversorger Farm in Kanada;Du suchst einen Lebensstil, der auf Nachhaltigkeit statt Konsum basiert. Am liebsten arbeitest du unter freiem Himmel, lernst von Pflanzen und Tieren und willst in einem Umfeld leben, das deine Werte widerspiegelt. Fernab des deutschen Konsumdrucks siehst du in Kanada die Chance, eine Selbstversorger-Farm aufzubauen und dich weitgehend unabhängig zu versorgen.;Um deinem nachhaltigen Traum näherzukommen, steht nun die internationale Ausbildung in ökologischer Landwirtschaft an, während du parallel die Formalitäten für eine dauerhafte Aufenthaltsgenehmigung in Kanada erledigst.; 	50.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Nach dem Abschluss planst du, am World Wide Opportunities on Organic Farms teilzunehmen und um die Welt zu reisen. Dabei möchtest du verschiedenste Selbstversorger-Projekte kennenlernen und Kontakte mit Gleichgesinnten knüpfen. Gestärkt durch dieses Netzwerk wirst du dich schließlich entscheiden, in Kanada deine eigene Farm zu gründen.; 	200.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Deine Farm läuft erfolgreich und du nimmst internationale Freiwillige auf, die deinen ressourcenschonenden Lebensstil kennenlernen möchten. Durch Führungen und Vorträge verbreitet sich dein Konzept. Wird es dir gelingen, mehr Menschen für ein nachhaltiges, konsumreduziertes Leben zu begeistern? ; 	500.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";"Sozialökologisch (Die Nachhaltigen & Engagierten)
Ziel: Das Leben genießen und nachhaltig leben "
"Aufforstung der 
Sahara in Niger";Du bist interessiert am Umweltschutz und beginnst bereits in der Schule dich in Umweltschutzprojekten einzubringen. Dir ist klar, dass du auch in deiner beruflichen Zukunft in diesem Bereich arbeiten möchtest und dort etwas bewegen möchtest. ;Du planst nach der Schule ein freiwilliges soziales Jahr (FSJ) in einem Aufforstungsprojekt in Niger. Dort möchtest du praktische Erfahrungen sammeln und herausfinden, ob dich die Arbeit langfristig begeistert. Das Projekt gefällt dir so gut, dass du nach dem Jahr weiterhin dort arbeitest und dir über Onlineweiterbildungen und Workshops noch mehr Wissen aneignest. ; 	50.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Du möchtest die Leitung in dem Aufforstungsprojekt in Niger übernehmen und leitest die Freiwilligen und Angestellten bei der Aufforstung an. Zukünftig sollst du Aufgaben in der Öffentlichkeitsarbeit übernehmen und dein soziales Netzwerk weiter ausbauen. ; 	200.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Um das Projekt weiter auszubauen, braucht es noch mehr Grundkapital. Du bist viel in der Welt unterwegs, um für das Projekt und für den Schutz der Wälder zu werben. Kannst du das Projekt weiter ausbauen und somit noch mehr Aufforstung betreiben?; 	500.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";"Sozialökologische (Die Nachhaltigen &
Engagierten)
Ziel: Die Welt verbessern durch Nachhaltigkeit
und soziales Engagement "
Aufbau einer Plattform für Reisecontent auf Social Media;Du willst nicht nur eigene Abenteuer teilen, sondern einen Ort schaffen, an dem Reisende überall auf der Welt kurze, packende Eindrücke, von Street-Food-Entdeckungen bis zum spontanen City-Trip, posten können. Deine Plattform soll Menschen verbinden, die mit wenig Planung viel erleben wollen und dabei ständig neue Impulse für das nächste Abenteuer liefern.;Begleitend zu einem Studium in Medieninformatik entwirfst du nun einen ersten Prototyp für deine Plattform: Kurzvideo-Upload, Kartenansicht mit Hotspots und Chat-Funktion. Eine kleine Testgruppe soll Feedback liefern, das du direkt einarbeitest. ; 	50.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Die Plattform geht online. Du planst Promotion-Aktionen bei Hostels und auf Reisemessen zu organisieren, eigene Video-Features zu produzieren und erste Mitarbeitende für Entwicklung und Community-Support einzustellen. So können Kooperationen mit Reise-Marken entstehen. Zusätzlich belegst du Kurse zu Vertrags- und Steuerfragen, um die geschäftliche Seite zu meistern.; 	200.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";Deine Plattform erreicht mehrere Millionen aktive Konten. Ein interdisziplinäres Team betreut Technik, Content-Moderation und Partner-Management. Währenddessen  priorisiert du neue Funktionen, wie etwa Live-Routen oder Gruppen-Challenges. Jetzt gilt es, den frischen Ideenfluss hochzuhalten und die Plattform stabil weiterzuentwickeln.; 	500.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";"Hedonisten (Spaßorientierten, Spontanen)
Ziel: Das Leben genießen und sich nicht einschränken lassen"
Aufbau einer renommierten Anwaltskanzlei;Gerechtigkeit, Verlässlichkeit und die Bewahrung bewährter Strukturen prägen dein Denken. Du fühlst dich in der Welt der Paragrafen wohl, verfolgst politische Entscheidungsprozesse aufmerksam und verhandelst gerne belastbare Kompromisse. Dein Ziel ist eine Kanzlei, die für fachliche Exzellenz, klare Prinzipien und höchste Servicequalität steht - ein verlässlicher Anlaufpunkt für Mandantschaft und Team gleichermaßen.;Du beginnst das Jurastudium, vertiefst dich in Staats-, Zivil- und Wirtschaftsrecht und sammelst erste Einblicke durch Praktika bei Gerichten, Ministerien und Kanzleien. Dabei klärst du für dich, welche Rechtsgebiete deine zukünftige Kanzlei abdecken soll.; 	50.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";Nun stehen das Schwerpunktstudium, das Erste Staatsexamen und das Referendariat an, was dich fachlich voranbringen soll. Parallel planst du, dein Netzwerk in Anwaltskammern und Fachverbänden auszubauen, Rhetorik- sowie Verhandlungsseminarezu besuchen und Gesetzesreformen zu verfolgen, um auf dem neuesten Stand zu bleiben.; 	200.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";Nach dem Zweiten Staatsexamen gewinnst du erste eigene Mandate, sammelst Berufserfahrung und führst komplexe Fälle. Mit einem stabilem Netzwerk und nachweislichen Erfolgen gründest du deine Kanzlei, stellst qualifiziertes Personal ein und etablierst klare Qualitätsstandards. Gelingt es dir, Mandatszahlen und Reputation kontinuierlich zu steigern und die Kanzlei zu einer festen Größe am Markt zu entwickeln?; 	500.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";"Sinus-Milieu: konservativ-bürgerlich (traditionell und 
und Pflichtbewusst)
Ziel: Stabilität und Wertebewahrung"
Aufbau einer Stiftung zur Förderung der Demokratie;Du engagierst dich leidenschaftlich für demokratische Werte und gesellschaftlichen Zusammenhalt. Anstatt nur einzelne Projekte zu unterstützen, willst du eine dauerhafte Institution schaffen – eine Stiftung, die Bildungsangebote, Forschung und zivilgesellschaftliche Initiativen für mehr Teilhabe fördert. Dein Ziel ist es, langfristig Strukturen zu stärken, die faire Mitsprache und Chancengleichheit sichern.;Du startest ein Studium in Politikwissenschaft und Verwaltung und absolvierst Praktika bei Nichtregierungsorganisationen (NGOs) sowie Stiftungen. Parallel baust du einen Podcast auf, in dem du aktuelle Demokratiethemen analysierst und erste Kontakte in Wissenschaft, Medien und Zivilgesellschaft knüpfst.; 	50.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";Nach dem Abschluss arbeitest du in einer gemeinnützigen Organisation und leitest kleinere Projekte, in denen du Fundraising-Methoden kennenlernst. Du möchtest nun die Satzung deiner künftigen Stiftung entwerfen, rechtliche Rahmenbedingungen klären, einen Beirat zusammenstellen und wirbst Startkapital bei Förderinstituten ein.; 	200.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Deine Stiftung wird offiziell anerkannt. Du richtest Förderprogramme für politische Bildung ein, vergibst Forschungsstipendien und unterstützt lokale Demokratie-Projekte. Mit einem wachsenden Team etablierst du transparente Prozesse, misst Wirkung und präsentierst Erfolge in der Öffentlichkeit. Kannst du Reichweite und finanzielle Basis so ausbauen, dass die Stiftung langfristig einen spürbaren Beitrag zur demokratischen Kultur leistet?; 	500.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";"Expeditive (Entdecker&Kreativen) - 
Selbstverwirklichung durch Kreativität"
 Umweltorganisation gründen und erfolgreich leiten;Dir ist das Thema Nachhaltigkeit wichtig und du möchtest auch in deiner beruflichen Zukunft den Klimaschutz aktiv mitgestalten. Du bist zielstrebig und denkst innovativ. Du möchtest über deinen nachhaltigen Lebensstil hinaus konkrete Beiträge und Lösungen für den globalen Umweltschutz erschaffen.;Damit du deinen Lebenstraum erfüllen kannst, ist es wichtig, dir zuerst Wissen im Bereich Umweltschutz anzueignen. Auch während deines Studiums im Bereich Sustainability Science willst du ehrenamtlich in verschiedenen Umweltorganisationen aktiv sein und engagierst dich in dem Nachhaltigkeitsprogramm deiner Uni.  ; 	50.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Nach deinem Studium startest du deine berufliche Karriere in einer internationalen Umweltorganisation. Du möchtest nun viel Erfahrung sammeln und knüpfst unterschiedliche Kontakte. Mit verschiedenen Weiterbildungen strebst du an, dein Wissen zu vertiefen.; 	200.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";Du entscheidest, dich selbständig zu machen und gründest deine eigene Umweltorganisation, die sich für innovative Technologien einsetzt. Dabei kannst du auf dein soziales Netzwerk zurückgreifen. Insbesondere in der Aufbauphase investierst du viel Freizeit in die Führung der Umweltorganisation. Kann deine Umweltorganisation langfristig überleben?; 	500.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";"Sozialökologische (Die Nachhaltigen &
Engagierten)
Ziel: Die Welt verbessern durch Nachhaltigkeit
und soziales Engagement "
Leitung und Weiterentwicklung einer Beratungsfirma für nachhaltige Unternehmensstrategie;"Du beschäftigst dich gerne mit unternehmerischen Prozessen und möchtest diese
nachhaltig mitgestalten. Dir macht es Spaß Projekte zu leiten und lösungsorientierte, realisierbare Strategien zu entwickeln. Deine Fähigkeiten in Organisation, Planung und Management unterstützen dich dabei. ";"Damit du deinen Lebenstraum erfüllen kannst, 
startest du mit einem Studium im Bereich Wirtschaftsingenieurwesen. In einem Start-Up-Unternehmen wirst du als Werkstudentin angestellt und sammelst im Beratungsbereich erste Erfahrungen. "; 	50.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";"Nach deinem Studium bekommst du von dem Start-Up 
eine Festanstellung angeboten. Du möchtest dich zusätzlich stärker mit nachhaltigen Unternehmensstrategien auseinandersetzten. Daher bildest du dich nun in deiner Freizeit selbst weiter, erhälst ein Zertifikat im Bereich Nachhaltigkeitsmanagement und gründest dein eigenes Start-Up für Unternehmensberatung."; 	200.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Du berätst bereits deine ersten Stammkunden in deinem Start-Up. Um dein Start-Up langfristig noch weiter auszubauen, ist viel Netzwerkarbeit gefragt. Zudem besuchst du weiterhin Fortbildungen, um immer auf dem aktuellen Stand zu bleiben. Wird dein Start-Up langfristig überleben? ; 	500.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";"Adaptiv-pragmatisches Millieu
Ziel: praktische, realistische Vision, die auf flexibler Anpassung an sich verändernde Umstände ausgerichtet ist. "
Aufbau und Entwicklung eines erfolgreichen Online-Bildungsportals für berufliche Weiterbildung;Du vermittelst gerne Wissen, beobachtest den Arbeitsmarkt aufmerksam und erkennst Lücken in der beruflichen Weiterbildung. Deine Vision ist eine digitale Plattform, die praxisnahe Kurse, flexible Lernpfade und anerkannte Zertifikate bündelt und dabei leicht zugänglich für Berufstätige, Unternehmen und Bildungseinrichtungen gleichermaßen ist.;Du entscheidest dich für ein Studium in Bildungsmanagement und Informatik und belegst zusätzliche Kurse zu E-Learning-Technologien. Parallel analysierst du Weiterbildungsangebote, führst Interviews mit Fachleuten aus Wirtschaft und Arbeitsverwaltung und erarbeitest ein erstes Konzept für ein modulares Online-Portal.; 	50.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";Gemeinsam mit einem kleinen Team baust du einen Prototypen mit wenigen Pilotkursen. Erste Firmen erproben die Plattform und ihre Rückmeldungen fließen in Usability-Verbesserungen und Kursdesign ein. Parallel möchtest du dir Finanzierung über Förderprogramme sichern und rechtliche Rahmenbedingungen aufstellen.; 	200.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Die öffentliche Version geht live. Du erweiterst das Kursportfolio, integrierst adaptive Lernpfade und baust Support-, Vertrieb- und Qualitätssicherungsstrukturen auf. Kooperationen mit Branchenverbänden und Zertifizierungsstellen erhöhen Reichweite und Vertrauen. Kannst du Nutzerzahlen, Kursqualität und Finanzierung so in Einklang bringen, dass dein Portal dauerhaft eine feste Größe im Weiterbildungsmarkt bleibt?; 	500.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";"Adaptiv-pragmatisches Millieu
Ziel: praktische, realistische Vision, die auf flexibler Anpassung an sich verändernde Umstände ausgerichtet ist. "
Aufbau einer weltweit erfolgreichen Fitnessmarke;Du liebst den Kick intensiver Workouts, experimentierst mit Ernährungstrends und teilst deine Erlebnisse gern online. Aus dieser Leidenschaft wächst der Plan, nicht nur als Coach zu arbeiten, sondern eine eigene Marke zu entwickeln. Trainingsprogramme, Lifestyle-Produkte und Events, die Menschen überall motivieren, Bewegung mit Spaß zu verbinden.;Du absolvierst eine anerkannte Trainerlizenz, baust auf Social Media einen ersten Kanal mit Workouts sowie Tipps auf und testest dein Konzept in lokalen Kursen. Logo, Farbwelt und Slogan der künftigen Marke mit klarer und energiegeladener Ausstrahlung sollen entstehen.; 	50.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";Nach ersten Erfolgen im Fitnessstudio startest du eine eigene Online-Plattform mit Videokursen, Ernährungsplänen und limitierten Merchandise-Artikel. Kooperationen mit Sportevents sollen nun für Reichweite sorgen und Feedback aus der Community direkt in neue Formate einfließen.; 	200.000,00 € ;"2
Kompetenzsteine";"1 
Kompetenzstein";Die Marke gewinnt Follower auf mehreren Kontinenten. Du eröffnest Pop-up-Workouts in Metropolen, bringst eine Produktlinie für Equipment und Sport-Fashion heraus und schließt Franchise-Verträge mit Studios im Ausland. Ziel ist es, ein globales Netzwerk aufzubauen, das Training, Lifestyle und Event-Erlebnis nahtlos verbindet. Schaffst du es, die Energie der Marke weltweit lebendig zu halten?; 	500.000,00 € ;"1 
Kompetenzstein";"2
Kompetenzsteine";"Hedonisten (Spaßorientierten, Spontanen)
Ziel: Das Leben genießen und sich nicht einschränken lassen"
